qx,qy,γem,γabs,τinv,Γamp
-0.7,-1.4,0.0,2.4111548746737167e10,1.0e8,-2.4211548746737167e10
1.2,-1.5,668323.9473329122,2.1786894726088996e9,1.0e8,-2.2780211486615667e9
-1.3,-2.0,0.0,0.0,1.0e8,-1.0e8
0.0,-1.9,0.0,9.579575477988821e9,1.0e8,-9.679575477988821e9
2.1,1.2,0.0,0.0,1.0e8,-1.0e8
-2.4,1.0,0.0,0.0,1.0e8,-1.0e8
-1.3,1.7,0.0,0.0,1.0e8,-1.0e8
0.3,2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-0.3,23032.496941195943,1.2327109893234516e10,1.0e8,-1.2427086860737576e10
-0.1,1.4,0.0,1.74993309899446e10,1.0e8,-1.75993309899446e10
0.2,-0.6,8.163920954737071e6,6.008246551854108e9,1.0e8,-6.100082630899371e9
0.7,-1.7,295.5691997650378,6.364613624093454e9,1.0e8,-6.464613328524255e9
-1.1,1.8,0.0,0.0,1.0e8,-1.0e8
0.1,1.8,0.0,1.1775393435069456e10,1.0e8,-1.1875393435069456e10
2.5,1.2,0.0,0.0,1.0e8,-1.0e8
1.9,-1.8,0.0,0.0,1.0e8,-1.0e8
-1.3,1.6,0.0,4.9282307749205804e8,1.0e8,-5.92823077492058e8
2.4,-1.9,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.1,0.0,2.032654193222152e10,1.0e8,-2.042654193222152e10
-0.9,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.2,0.0,0.0,1.0e8,-1.0e8
0.2,-0.7,1.9956096221010904e6,7.327362736689142e9,1.0e8,-7.425367127067041e9
-0.2,0.2,1.2622040465566404e6,8.326173219552881e9,1.0e8,-8.424911015506325e9
2.3,0.3,0.0,0.0,1.0e8,-1.0e8
1.9,0.6,4.069133851692012e8,3.230264025516481e6,1.0e8,3.036831211436847e8
-0.1,0.8,2338.3292408568345,1.3656662406156364e10,1.0e8,-1.3756660067827124e10
-1.0,-0.1,0.0,3.06178789793096e10,1.0e8,-3.07178789793096e10
1.2,1.1,7.800150901752202e7,1.838920258913525e9,1.0e8,-1.860918749896003e9
-2.2,1.2,0.0,0.0,1.0e8,-1.0e8
-1.5,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.3,2.479162022547329e6,4.0677388050822253e9,1.0e8,-4.165259643059678e9
-1.7,-2.0,0.0,0.0,1.0e8,-1.0e8
-0.4,2.1,0.0,0.0,1.0e8,-1.0e8
1.1,-1.3,5.179021886633293e6,3.2477064123561354e9,1.0e8,-3.342527390469502e9
-1.1,-0.5,0.0,3.2368224175272694e10,1.0e8,-3.2468224175272694e10
0.1,-0.5,8.629883560713178e6,6.084154905053217e9,1.0e8,-6.175525021492504e9
-0.8,1.9,0.0,7.801412592050685e7,1.0e8,-1.7801412592050683e8
1.2,1.0,1.810112030131345e8,1.4101593365134974e9,1.0e8,-1.3291481335003629e9
-1.7,1.7,0.0,0.0,1.0e8,-1.0e8
-0.4,2.4,0.0,0.0,1.0e8,-1.0e8
-0.6,1.4,0.0,2.341688595701612e10,1.0e8,-2.351688595701612e10
1.5,-1.3,1.7665434097845826e7,3.963850184506165e8,1.0e8,-4.787195843527706e8
1.9,-0.3,1.5847749837860553e9,3.945017888135006e6,1.0e8,1.4808299658979204e9
-1.9,-1.0,0.0,0.0,1.0e8,-1.0e8
-2.3,0.7,0.0,0.0,1.0e8,-1.0e8
0.9,0.7,4.547725582028797e8,1.2513240421720653e9,1.0e8,-8.965514839691856e8
-1.0,1.4,0.0,2.394204907765948e10,1.0e8,-2.404204907765948e10
-2.5,1.9,0.0,0.0,1.0e8,-1.0e8
-1.6,0.7,0.0,2.858411799665887e10,1.0e8,-2.868411799665887e10
0.0,1.3,0.0,1.5927094413874659e10,1.0e8,-1.6027094413874659e10
-1.7,1.6,0.0,0.0,1.0e8,-1.0e8
-0.9,2.5,0.0,0.0,1.0e8,-1.0e8
0.2,-0.9,103408.69108634858,9.75433561713456e9,1.0e8,-9.854232208443474e9
1.3,0.7,1.203169975212403e9,2.95283022948116e8,1.0e8,8.07886952264287e8
-0.6,0.8,0.0,2.3969001783299023e10,1.0e8,-2.4069001783299023e10
2.2,-1.7,0.0,0.0,1.0e8,-1.0e8
-1.2,2.3,0.0,0.0,1.0e8,-1.0e8
0.0,-1.6,0.0,1.5489330157556614e10,1.0e8,-1.5589330157556614e10
0.6,0.2,1.735186264949857e9,3.9796273560665876e8,1.0e8,1.2372235293431983e9
-1.0,0.8,0.0,3.0632698758329685e10,1.0e8,-3.0732698758329685e10
-0.9,-0.8,0.0,2.932662522638907e10,1.0e8,-2.942662522638907e10
-1.9,-0.6,0.0,7.682554883923426e9,1.0e8,-7.782554883923426e9
-1.8,0.2,0.0,2.679063873811517e10,1.0e8,-2.689063873811517e10
0.0,0.9,3448.546538675786,1.2952212923564486e10,1.0e8,-1.3052209475017946e10
1.6,-1.9,0.0,0.0,1.0e8,-1.0e8
-1.3,-2.5,0.0,0.0,1.0e8,-1.0e8
-1.3,-2.2,0.0,0.0,1.0e8,-1.0e8
1.7,-1.9,0.0,0.0,1.0e8,-1.0e8
-2.0,1.9,0.0,0.0,1.0e8,-1.0e8
0.0,-2.3,0.0,0.0,1.0e8,-1.0e8
-1.9,-0.7,0.0,4.260404570513568e9,1.0e8,-4.360404570513568e9
-2.1,0.2,0.0,204615.10615413426,1.0e8,-1.0020461510615413e8
2.4,1.3,0.0,0.0,1.0e8,-1.0e8
0.4,-1.2,18094.57266509707,9.803537691984348e9,1.0e8,-9.903519597411684e9
-2.3,-1.1,0.0,0.0,1.0e8,-1.0e8
-2.3,0.1,0.0,0.0,1.0e8,-1.0e8
0.9,-1.1,1.2484257299209187e7,3.8840508710571885e9,1.0e8,-3.9715666137579794e9
0.9,0.1,2.6450826812408037e9,1.4060971335161278e8,1.0e8,2.404472967889191e9
2.4,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.6,-1.1,0.0,1.3202819246820454e10,1.0e8,-1.3302819246820454e10
-1.6,0.1,0.0,3.376732156048308e10,1.0e8,-3.386732156048308e10
1.3,-1.1,1.201398071980261e8,1.3299630692187974e9,1.0e8,-1.3098232620207713e9
1.3,0.1,3.170770264151195e9,4.265252719241992e7,1.0e8,3.028117736958775e9
0.8,1.5,24729.679838258373,6.296478581015753e9,1.0e8,-6.396453851335915e9
2.4,0.9,0.0,0.0,1.0e8,-1.0e8
-0.8,-2.1,0.0,0.0,1.0e8,-1.0e8
1.4,1.5,0.0,0.0,1.0e8,-1.0e8
-1.4,-1.3,0.0,1.650314583197367e10,1.0e8,-1.660314583197367e10
-0.2,-1.7,0.0,1.6288039763153e10,1.0e8,-1.6388039763153e10
2.4,-2.3,0.0,0.0,1.0e8,-1.0e8
2.1,-2.4,0.0,0.0,1.0e8,-1.0e8
-1.3,2.5,0.0,0.0,1.0e8,-1.0e8
-0.3,-0.2,62037.032989026404,1.139386383593465e10,1.0e8,-1.149380179890166e10
0.8,-1.5,24729.679838258373,6.296478581015753e9,1.0e8,-6.396453851335915e9
-0.3,0.4,6992.809051331276,1.3398368332970268e10,1.0e8,-1.3498361340161217e10
-2.4,2.3,0.0,0.0,1.0e8,-1.0e8
-1.1,0.5,0.0,3.2368224175272194e10,1.0e8,-3.2468224175272194e10
-2.5,-2.1,0.0,0.0,1.0e8,-1.0e8
0.1,0.5,8.629883560713178e6,6.084154905053217e9,1.0e8,-6.175525021492504e9
1.4,-1.5,0.0,0.0,1.0e8,-1.0e8
-1.7,-2.5,0.0,0.0,1.0e8,-1.0e8
-1.7,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,1.8,0.0,8.549374823246085e9,1.0e8,-8.649374823246086e9
-0.9,2.1,0.0,0.0,1.0e8,-1.0e8
-1.9,-0.9,0.0,527894.0946843666,1.0e8,-1.0052789409468436e8
-0.4,0.0,5162.386944578295,1.3850180535176567e10,1.0e8,-1.3950175372789623e10
2.1,2.0,0.0,0.0,1.0e8,-1.0e8
-1.3,-0.8,0.0,3.2029719305813957e10,1.0e8,-3.2129719305813957e10
0.2,-0.1,1.088493323287848e9,8.261807007321314e8,1.0e8,1.6231262255571663e8
0.7,-1.3,155025.13716064283,6.925800151252176e9,1.0e8,-7.025645126115016e9
-0.9,2.4,0.0,0.0,1.0e8,-1.0e8
2.5,-2.4,0.0,0.0,1.0e8,-1.0e8
0.3,-1.9,0.0,6.931338039930094e9,1.0e8,-7.031338039930094e9
1.0,-1.0,6.837985096976624e7,2.510366149767287e9,1.0e8,-2.5419862987975206e9
-2.3,-1.4,0.0,0.0,1.0e8,-1.0e8
-0.8,-1.8,0.0,7.235298859766444e9,1.0e8,-7.335298859766444e9
0.9,-1.4,281579.9972183412,5.231843321259752e9,1.0e8,-5.331561741262534e9
1.1,-1.0,1.1605958773266517e8,1.9130564776710274e9,1.0e8,-1.8969968899383624e9
0.4,-0.5,1.7696428097964615e8,2.623928767589094e9,1.0e8,-2.546964486609448e9
-1.6,-1.4,0.0,0.0,1.0e8,-1.0e8
-0.5,1.2,0.0,2.3255127366007263e10,1.0e8,-2.3355127366007263e10
-2.2,-2.4,0.0,0.0,1.0e8,-1.0e8
1.6,1.3,0.0,0.0,1.0e8,-1.0e8
1.3,-1.4,4.648048931952886e6,1.6889633356529214e9,1.0e8,-1.7843152867209685e9
1.7,1.3,0.0,0.0,1.0e8,-1.0e8
-2.0,-2.1,0.0,0.0,1.0e8,-1.0e8
0.8,1.1,5.653999422796399e6,4.7357699382403e9,1.0e8,-4.830115938817504e9
-0.8,0.6,0.0,2.7289597559785217e10,1.0e8,-2.7389597559785217e10
-1.1,0.3,0.0,3.2464585237510075e10,1.0e8,-3.2564585237510075e10
0.6,-1.7,0.0,7.584249417735175e9,1.0e8,-7.684249417735175e9
1.6,-1.6,0.0,0.0,1.0e8,-1.0e8
0.1,0.3,1.1949712288123864e8,3.241767790169375e9,1.0e8,-3.2222706672881365e9
1.4,1.1,1.6732583172842538e8,9.064332335604057e8,1.0e8,-8.391074018319803e8
-1.8,-1.7,0.0,0.0,1.0e8,-1.0e8
1.0,-0.6,1.0201644610177975e9,5.776891982744269e8,1.0e8,3.4247526274337053e8
-0.7,1.5,0.0,2.2555041361343636e10,1.0e8,-2.2655041361343636e10
-2.5,-1.8,0.0,0.0,1.0e8,-1.0e8
1.7,-1.6,0.0,0.0,1.0e8,-1.0e8
1.5,-1.0,4.0624404028780264e8,4.2565992322061855e8,1.0e8,-1.1941588293281591e8
1.6,0.9,7.132254423751476e8,1.729149412213948e8,1.0e8,4.403105011537528e8
1.1,-0.6,1.2445571186115816e9,4.032368509995515e8,1.0e8,7.4132026761203e8
0.2,1.4,0.0,1.3391436005766735e10,1.0e8,-1.3491436005766735e10
1.9,-0.2,1.7718310040800266e9,3.5419234481930076e6,1.0e8,1.6682890806318336e9
0.8,1.0,1.8140151585005e7,3.9881710715957465e9,1.0e8,-4.0700309200107417e9
1.9,0.4,1.3207962443406584e9,4.458726838644699e6,1.0e8,1.2163375175020137e9
1.7,0.9,6.025835754231846e8,8.497217772717102e7,1.0e8,4.176113976960136e8
0.5,1.9,0.0,4.097948625346299e9,1.0e8,-4.197948625346299e9
-0.7,-1.5,0.0,2.2555041361343636e10,1.0e8,-2.2655041361343636e10
-2.5,0.6,0.0,0.0,1.0e8,-1.0e8
2.3,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.1,-1.7,0.0,0.0,1.0e8,-1.0e8
1.6,-2.3,0.0,0.0,1.0e8,-1.0e8
1.0,-0.7,6.345968594063758e8,8.982242091421993e8,1.0e8,-3.636273497358235e8
-0.1,-0.4,1.0846767490935063e6,8.390318371671264e9,1.0e8,-8.489233694922171e9
-1.7,-0.8,0.0,2.1096942740970753e10,1.0e8,-2.1196942740970753e10
0.2,0.8,460387.90761703387,8.584667912398705e9,1.0e8,-8.684207524491089e9
1.1,-0.7,8.295687451511773e8,6.321333318425305e8,1.0e8,9.74354133086468e7
1.7,-2.3,0.0,0.0,1.0e8,-1.0e8
1.4,1.0,3.4149550799172354e8,6.744941925781354e8,1.0e8,-4.3299868458641183e8
-2.2,2.0,0.0,0.0,1.0e8,-1.0e8
2.5,2.0,0.0,0.0,1.0e8,-1.0e8
1.5,-0.6,1.8351544252450726e9,8.246686372293712e7,1.0e8,1.6526875615221355e9
-0.8,-0.3,0.0,2.635790179504104e10,1.0e8,-2.645790179504104e10
2.3,1.7,0.0,0.0,1.0e8,-1.0e8
1.8,1.9,0.0,0.0,1.0e8,-1.0e8
-1.3,2.1,0.0,0.0,1.0e8,-1.0e8
